FILE_UUID,Sample_ID
6725b74e-f568-4d61-a6b6-27dbc04eced5,d6023f30-0d07-4839-98d1-0b22b366cc51
ca044f51-ce1a-433a-ae8d-8f90e382ba63,5d1a5545-6934-41e5-b41b-8e0ee88e6ec6
f2f63959-ff1b-4bec-88f8-fbe591c1176c,c90925f3-2126-478f-b0d4-f3b2c50cfbf9
fc73a031-4820-4e2b-a481-deef427a2206,2e8bf886-a557-4563-88fc-c347e9108d9e
0b8fd600-aaae-444f-923d-c605f4ded9a7,dfb7fb86-5f46-4666-a008-395aa0881267
0baa0917-5f94-46d8-b490-cfec99530637,0e4b5dfa-11c7-49f1-a544-f266f3c6bb09
2de9693d-a5b8-424f-92c2-1b4e36ae5e85,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
a8159a6e-5816-493f-9bd0-5061c6d41866,092e1117-6c06-43cd-a47e-ed7c6989448a
35700bf4-e8db-4489-be60-a47166ac5f36,78f8b01e-292f-4131-a3ef-4f9faec7913a
1cf448aa-3977-4cc1-ac5c-464acd533227,e3cd135d-b593-47c4-81fc-9a70195b5f1b
074e1fce-d868-482d-8c87-713c4a64fb8f,9d4aa324-0f4c-4085-9a77-8213f51dc963
05ffdee7-034e-444a-97be-2351616f91a5,3e936c86-fbb5-415d-a657-f96fe5565e34
66abb7db-df62-42a3-8213-68715ddfc7ee,7b91f042-35fc-4e69-8d74-4c9369aef706
2c7983c8-296c-43f7-a629-36a175b1a061,f05204c8-8301-4117-b826-b5fa194d28d2
1511ad44-0af3-4721-9728-4838d83757b0,a3ac21e2-b92b-4597-a870-8444ddc6b4d6
6b860285-6c8a-4d77-a1a4-13e72faca602,6b0539db-65d8-48bc-80cb-8089508d9354
c1d83f9c-2098-405c-8ac7-e88ff1b24401,14423610-4958-43f4-9a75-1a61c1293024
7ca1284d-ce7e-4e34-83b8-07ddf5b48e09,2fa19af2-6fa0-4164-a0bb-8524d6085d80
5a822fc1-4417-4d6b-8e65-09fd83367503,110c2f1c-6a8e-4bcd-85a1-dfb103c5fe65
21c5c34f-96c6-400f-82ad-a20ce4bbfc00,476b6ab5-f108-4280-9d53-7eb75fe17e4a
8515f6c9-a30b-4900-929e-5c8819e5d25a,6f8b48ba-ef24-4d33-a0c3-bc900a6c8cd2
5b515b24-fbce-4287-ae01-2dd8b650a530,bb128895-972c-48ab-8cb4-ffa9e6448692
fc58fcaf-c3da-4b90-9676-e75f51822990,b884af8f-ff0c-4cac-9a26-f4f27b35f8e7
ebed1abb-0e9c-45d0-a0bf-89f5a4f368a2,bb128895-972c-48ab-8cb4-ffa9e6448692
2ef324e9-8032-4b1c-9552-60e892285f85,ee8a64a7-c37c-4a66-9091-1b8b09dcbdde
2c9c1bbe-dc6e-44ca-848e-3eb33ed5f914,e0630a0d-d4aa-4c20-87ea-441ea60e6cfe
16923b13-722b-4b2a-8364-20592da16f73,77ff059d-7807-4cf1-88cd-a2da005167eb
24ef3a73-0ea5-4a7b-8986-09b1e9000f8c,e716eb8a-dccd-4f17-9bdc-e64dc2f0fd69
7ccc5a5b-d3f1-46da-8540-d8fbb7c6c06e,5d1a5545-6934-41e5-b41b-8e0ee88e6ec6
a3119d3a-4666-4e42-a38f-14d6746a370c,154e5ac5-ccdf-48bb-909b-2aacb63ca385
